filename,country,nl_mean,pred_wo_abstention,pred_with_abstention
image13747.npz,1,-0.1738624721765518,-1.0,-1.0
image14972.npz,1,-0.1738624721765518,1.0,0.0
image16964.npz,1,0.1686408966779709,1.0,0.0
image6808.npz,1,0.2219075113534927,-1.0,0.0
image4311.npz,1,0.21422018110752103,-1.0,0.0
image19407.npz,1,0.0866595953702926,1.0,0.0
image12845.npz,1,-0.0992241203784942,1.0,1.0
image5930.npz,1,-0.1601580381393432,1.0,1.0
image3120.npz,1,-0.1738624721765518,1.0,1.0
image19319.npz,1,-0.1738624721765518,1.0,0.0
image9768.npz,1,-0.1738624721765518,1.0,0.0
image3443.npz,1,-0.1738624721765518,1.0,1.0
image15078.npz,1,-0.1232989653944969,1.0,1.0
image12911.npz,1,0.3325165808200836,1.0,0.0
image18536.npz,1,-0.1738624721765518,-1.0,-1.0
image19333.npz,1,-0.1738624721765518,-1.0,-1.0
image17521.npz,1,-0.1738624721765518,-1.0,0.0
image9234.npz,1,-0.1738624721765518,-1.0,-1.0
image11843.npz,1,-0.1738624721765518,-1.0,-1.0
image5194.npz,1,0.0116118500009179,1.0,0.0
image2784.npz,1,-0.1738624721765518,1.0,0.0
image2279.npz,1,-0.1738624721765518,-1.0,-1.0
image18194.npz,1,-0.1738624721765518,-1.0,0.0
image1933.npz,1,-0.1738624721765518,-1.0,0.0
image532.npz,1,-0.1738624721765518,-1.0,0.0
image15970.npz,1,-0.1738624721765518,1.0,0.0
image15681.npz,1,-0.1540427953004837,1.0,0.0
image1569.npz,1,-0.1329819560050964,1.0,1.0
image12597.npz,1,-0.1738624721765518,-1.0,-1.0
image6122.npz,1,-0.1738624721765518,-1.0,0.0
image11819.npz,1,-0.1738624721765518,-1.0,0.0
image17878.npz,1,-0.1738624721765518,-1.0,0.0
image1763.npz,1,-0.1738624721765518,-1.0,0.0
image2116.npz,1,-0.1738624721765518,-1.0,0.0
image16447.npz,1,-0.1738624721765518,1.0,0.0
image12068.npz,1,-0.1738624721765518,-1.0,0.0
image17450.npz,1,-0.1738624721765518,-1.0,-1.0
image7615.npz,1,-0.1738624721765518,1.0,0.0
image15968.npz,1,-0.0951817780733108,1.0,0.0
image5123.npz,1,-0.1738624721765518,-1.0,-1.0
image4994.npz,1,-0.1738624721765518,-1.0,0.0
image10248.npz,1,-0.1738624721765518,-1.0,0.0
image14590.npz,1,-0.1738624721765518,-1.0,-1.0
image3030.npz,1,-0.0355956591665744,1.0,0.0
image19139.npz,1,-0.0338102765381336,1.0,0.0
image17821.npz,1,-0.1738624721765518,-1.0,-1.0
image18447.npz,1,-0.1738624721765518,-1.0,0.0
image7738.npz,1,-0.1738624721765518,-1.0,-1.0
image730.npz,1,-0.1738624721765518,-1.0,0.0
image17555.npz,1,-0.1738624721765518,-1.0,-1.0
image13644.npz,1,-0.1738624721765518,-1.0,-1.0
image1246.npz,1,-0.1738624721765518,-1.0,-1.0
image8610.npz,1,-0.1738624721765518,-1.0,-1.0
image8458.npz,1,-0.1738624721765518,-1.0,-1.0
image17712.npz,1,-0.1738624721765518,1.0,0.0
image5087.npz,1,-0.1738624721765518,-1.0,-1.0
image17676.npz,1,-0.1467172801494598,1.0,1.0
image12684.npz,1,-0.1738624721765518,-1.0,0.0
image5022.npz,1,-0.0013279154663905,1.0,0.0
image13257.npz,1,-0.1498205363750457,1.0,1.0
image4355.npz,1,-0.1738624721765518,-1.0,0.0
image17201.npz,1,-0.1738624721765518,-1.0,-1.0
image16521.npz,1,-0.1738624721765518,-1.0,-1.0
image5017.npz,1,-0.1738624721765518,-1.0,0.0
image3417.npz,1,-0.1738624721765518,-1.0,-1.0
image9365.npz,1,-0.1738624721765518,1.0,0.0
image13867.npz,1,-0.1738624721765518,-1.0,-1.0
image14886.npz,1,-0.1738624721765518,-1.0,0.0
image10104.npz,1,-0.1738624721765518,-1.0,0.0
image14731.npz,1,-0.1738624721765518,-1.0,-1.0
image2011.npz,1,-0.1738624721765518,-1.0,-1.0
image10318.npz,1,-0.1738624721765518,1.0,0.0
image14868.npz,1,-0.1738624721765518,-1.0,0.0
image10684.npz,1,-0.1738624721765518,-1.0,0.0
image1815.npz,1,-0.1738624721765518,-1.0,0.0
image7227.npz,1,-0.1738624721765518,-1.0,0.0
image18476.npz,1,-0.1738624721765518,1.0,0.0
image7740.npz,1,-0.1738624721765518,1.0,0.0
image6745.npz,1,-0.0102050742134451,1.0,0.0
image12926.npz,1,-0.1738624721765518,-1.0,0.0
image13763.npz,1,-0.1738624721765518,-1.0,0.0
image14453.npz,1,-0.1738624721765518,1.0,0.0
image1994.npz,1,-0.1738624721765518,-1.0,0.0
image2910.npz,1,-0.1738624721765518,-1.0,-1.0
image10605.npz,1,-0.1738624721765518,-1.0,-1.0
image6929.npz,1,-0.1738624721765518,-1.0,0.0
image19365.npz,1,-0.1738624721765518,-1.0,0.0
image15319.npz,1,-0.1738624721765518,1.0,1.0
image4758.npz,1,-0.1738624721765518,-1.0,0.0
image841.npz,1,0.3078685998916626,1.0,1.0
image6796.npz,1,-0.1738624721765518,-1.0,0.0
image11304.npz,1,-0.1738624721765518,-1.0,0.0
